date,year,quarter_of_year,month_number,month_name,day_of_month,day_of_week_number,day_of_week_name,week_of_year,is_weekday
2017-10-01,2017,4,10,October,1,6,Sunday,39,False
2017-10-02,2017,4,10,October,2,0,Monday,40,True
2017-10-03,2017,4,10,October,3,1,Tuesday,40,True
2017-10-04,2017,4,10,October,4,2,Wednesday,40,True
2017-10-05,2017,4,10,October,5,3,Thursday,40,True
2017-10-06,2017,4,10,October,6,4,Friday,40,True
2017-10-07,2017,4,10,October,7,5,Saturday,40,False
2017-10-08,2017,4,10,October,8,6,Sunday,40,False
2017-10-09,2017,4,10,October,9,0,Monday,41,True
2017-10-10,2017,4,10,October,10,1,Tuesday,41,True
2017-10-11,2017,4,10,October,11,2,Wednesday,41,True
2017-10-12,2017,4,10,October,12,3,Thursday,41,True
2017-10-13,2017,4,10,October,13,4,Friday,41,True
2017-10-14,2017,4,10,October,14,5,Saturday,41,False
2017-10-15,2017,4,10,October,15,6,Sunday,41,False
2017-10-16,2017,4,10,October,16,0,Monday,42,True
2017-10-17,2017,4,10,October,17,1,Tuesday,42,True
2017-10-18,2017,4,10,October,18,2,Wednesday,42,True
2017-10-19,2017,4,10,October,19,3,Thursday,42,True
2017-10-20,2017,4,10,October,20,4,Friday,42,True
2017-10-21,2017,4,10,October,21,5,Saturday,42,False
2017-10-22,2017,4,10,October,22,6,Sunday,42,False
2017-10-23,2017,4,10,October,23,0,Monday,43,True
2017-10-24,2017,4,10,October,24,1,Tuesday,43,True
2017-10-25,2017,4,10,October,25,2,Wednesday,43,True
2017-10-26,2017,4,10,October,26,3,Thursday,43,True
2017-10-27,2017,4,10,October,27,4,Friday,43,True
2017-10-28,2017,4,10,October,28,5,Saturday,43,False
2017-10-29,2017,4,10,October,29,6,Sunday,43,False
2017-10-30,2017,4,10,October,30,0,Monday,44,True
2017-10-31,2017,4,10,October,31,1,Tuesday,44,True
2017-11-01,2017,4,11,November,1,2,Wednesday,44,True
2017-11-02,2017,4,11,November,2,3,Thursday,44,True
2017-11-03,2017,4,11,November,3,4,Friday,44,True
2017-11-04,2017,4,11,November,4,5,Saturday,44,False
2017-11-05,2017,4,11,November,5,6,Sunday,44,False
2017-11-06,2017,4,11,November,6,0,Monday,45,True
2017-11-07,2017,4,11,November,7,1,Tuesday,45,True
2017-11-08,2017,4,11,November,8,2,Wednesday,45,True
2017-11-09,2017,4,11,November,9,3,Thursday,45,True
2017-11-10,2017,4,11,November,10,4,Friday,45,True
2017-11-11,2017,4,11,November,11,5,Saturday,45,False
2017-11-12,2017,4,11,November,12,6,Sunday,45,False
2017-11-13,2017,4,11,November,13,0,Monday,46,True
2017-11-14,2017,4,11,November,14,1,Tuesday,46,True
2017-11-15,2017,4,11,November,15,2,Wednesday,46,True
2017-11-16,2017,4,11,November,16,3,Thursday,46,True
2017-11-17,2017,4,11,November,17,4,Friday,46,True
2017-11-18,2017,4,11,November,18,5,Saturday,46,False
2017-11-19,2017,4,11,November,19,6,Sunday,46,False
2017-11-20,2017,4,11,November,20,0,Monday,47,True
2017-11-21,2017,4,11,November,21,1,Tuesday,47,True
2017-11-22,2017,4,11,November,22,2,Wednesday,47,True
2017-11-23,2017,4,11,November,23,3,Thursday,47,True
2017-11-24,2017,4,11,November,24,4,Friday,47,True
2017-11-25,2017,4,11,November,25,5,Saturday,47,False
2017-11-26,2017,4,11,November,26,6,Sunday,47,False
2017-11-27,2017,4,11,November,27,0,Monday,48,True
